id,timestamp,action,user_id,document_id,extraction_request_id,details,ip_address,user_agent
53,2025-08-07T10:20:29.855857,extraction_failed,,14,17,"{""status"": ""flagged"", ""confidence_score"": 0.5793593998994319, ""processing_time"": 6.51334}",,
52,2025-08-07T10:20:23.326707,extraction_request,,14,17,"{""requirements"": ""Financial Obligations This involves identifying all payment obligations, including fixed amounts and recurring fees. You'll need to pinpoint the specific due dates for each payment and any associated financial penalties, such as late fees or interest charges, for missed or delayed payments. Tabular Data The goal here is to extract all structured information presented in tables. This includes pulling data from pricing tables that detail rates or service costs, as well as schedules that outline timelines or milestones. Termination Clauses This task focuses on finding all provisions related to ending the agreement. You must identify the conditions under which the contract can be terminated by either party, as well as any penalty provisions or liabilities that would be incurred for early termination. Key Contract Information This involves extracting the foundational metadata of the agreement. This includes identifying the effective date, the full names of the party names involved, and the total contract value if it is explicitly stated in the document."", ""output_format"": ""json""}",192.168.1.35,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/138.0.0.0 Safari/537.36"
51,2025-08-07T10:20:01.984950,extraction_failed,,14,16,"{""status"": ""flagged"", ""confidence_score"": 0.5793593998994319, ""processing_time"": 7.89992}",,
50,2025-08-07T10:19:54.042125,extraction_request,,14,16,"{""requirements"": ""Financial Obligations This involves identifying all payment obligations, including fixed amounts and recurring fees. You'll need to pinpoint the specific due dates for each payment and any associated financial penalties, such as late fees or interest charges, for missed or delayed payments. Tabular Data The goal here is to extract all structured information presented in tables. This includes pulling data from pricing tables that detail rates or service costs, as well as schedules that outline timelines or milestones. Termination Clauses This task focuses on finding all provisions related to ending the agreement. You must identify the conditions under which the contract can be terminated by either party, as well as any penalty provisions or liabilities that would be incurred for early termination. Key Contract Information This involves extracting the foundational metadata of the agreement. This includes identifying the effective date, the full names of the party names involved, and the total contract value if it is explicitly stated in the document."", ""output_format"": ""json""}",192.168.1.35,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/138.0.0.0 Safari/537.36"
49,2025-08-07T10:19:35.435751,document_upload,,14,,"{""filename"": ""IBP_Ankireddy_Cherlamcherla_Patel.pdf"", ""file_size"": 2949943, ""document_type"": ""pdf""}",192.168.1.35,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/138.0.0.0 Safari/537.36"
48,2025-08-07T10:15:23.615247,extraction_failed,,13,15,"{""status"": ""flagged"", ""confidence_score"": 0.5793593998994319, ""processing_time"": 7.364149}",,
47,2025-08-07T10:15:16.205819,extraction_request,,13,15,"{""requirements"": ""Financial Obligations This involves identifying all payment obligations, including fixed amounts and recurring fees. You'll need to pinpoint the specific due dates for each payment and any associated financial penalties, such as late fees or interest charges, for missed or delayed payments. Tabular Data The goal here is to extract all structured information presented in tables. This includes pulling data from pricing tables that detail rates or service costs, as well as schedules that outline timelines or milestones. Termination Clauses This task focuses on finding all provisions related to ending the agreement. You must identify the conditions under which the contract can be terminated by either party, as well as any penalty provisions or liabilities that would be incurred for early termination. Key Contract Information This involves extracting the foundational metadata of the agreement. This includes identifying the effective date, the full names of the party names involved, and the total contract value if it is explicitly stated in the document."", ""output_format"": ""json""}",192.168.1.35,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/138.0.0.0 Safari/537.36"
46,2025-08-07T10:09:52.801420,extraction_failed,,13,14,"{""status"": ""flagged"", ""confidence_score"": 0.5793593998994319, ""processing_time"": 6.657036}",,
45,2025-08-07T10:09:46.128165,extraction_request,,13,14,"{""requirements"": ""This prompt outlines a comprehensive plan for a detailed analysis of a contract, focusing on extracting critical financial, legal, and operational information. It breaks down the process into four key areas:\r\n\r\n1. Payment and Financial Obligations\r\nThis task involves a deep dive into the financial aspects of the agreement. The goal is to create a complete picture of all money-related commitments and potential liabilities.\r\n\r\nPayment Obligations: Identify all instances where one party is required to make a payment. This includes the base fee, recurring charges, and any one-time costs.\r\n\r\nDue Dates: Pinpoint the specific deadlines for each payment. This could be a fixed date (e.g., \""the 5th of each month\"") or a condition (e.g., \""30 days after invoice receipt\"").\r\n\r\nFinancial Penalties: Find all clauses that describe consequences for late or missed payments, such as late fees, interest charges, or other financial repercussions.\r\n\r\n2. Tabular Data Extraction\r\nContracts often use tables to organize complex information clearly. This task focuses on pulling this structured data to ensure accuracy and ease of use.\r\n\r\nPricing Tables: Extract all data from tables that detail the cost of services, products, or rates. This can include tiered pricing, hourly rates, or itemized lists.\r\n\r\nSchedules: Identify and extract information from tables that outline project timelines, delivery schedules, or service-level agreements (SLAs).\r\n\r\nStructured Data: The output should maintain the structure of the original table, making it easy to analyze or import into other systems for financial planning and project management.\r\n\r\n3. Termination and Penalty Provisions\r\nThis is a crucial step for risk assessment, as it clarifies the conditions under which the contract can be ended and the consequences of doing so.\r\n\r\nTermination Clauses: Locate the specific sections that describe the conditions for ending the contract. This includes termination for cause, termination for convenience, and the required notice period for each.\r\n\r\nPenalty Provisions: Identify any fees, liabilities, or financial penalties associated with early termination or a breach of contract. This could include early termination fees or liquidated damages.\r\n\r\n4. Core Contract Metadata\r\nThis final task focuses on extracting the foundational facts of the agreement. These are essential for filing, searching, and summarizing the contract.\r\n\r\nEffective Date: Extract the date the contract officially begins.\r\n\r\nParty Names: Identify the full legal names of all parties involved in the agreement.\r\n\r\nContract Value: Extract the total monetary value of the contract, if specified. This is often found in an introductory summary or a specific payment clause."", ""output_format"": ""json""}",192.168.1.35,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/138.0.0.0 Safari/537.36"
44,2025-08-07T10:07:53.194560,extraction_failed,,13,13,"{""status"": ""flagged"", ""confidence_score"": 0.5793593998994319, ""processing_time"": 10.816454}",,
